id,Protein names,Gene names,PROlong_mean
5229,"39S ribosomal protein L18, mitochondrial",MRPL18,0.8431799999999999
5230,VIP36-like protein,LMAN2L,1.0832966666666668
5231,Protein SMG9,SMG9,0.8874
5232,Protein ITFG3,ITFG3,1.6098666666666666
5234,Anaphase-promoting complex subunit 1,ANAPC1,0.9903733333333333
5235,Interferon regulatory factor 2-binding protein-like,IRF2BPL,1.0142933333333333
5236,Cysteine-rich and transmembrane domain-containing protein 1,CYSTM1,1.3517333333333332
5237,DNA-directed RNA polymerase III subunit RPC6,POLR3F,1.0831666666666666
5238,Thioredoxin-related transmembrane protein 4,TMX4,1.2676333333333334
5239,Kinesin-like protein KIF13A,KIF13A,1.2021
5240,Activating signal cointegrator 1 complex subunit 2,ASCC2,1.0129833333333333
5242,Autophagy protein 5,ATG5,0.9370266666666667
5243,WD repeat-containing protein 13,WDR13,1.1625333333333334
5244,Mediator of RNA polymerase II transcription subunit 28,MED28,0.87858
5245,EH domain-containing protein 4,EHD4,0.9894733333333333
5247,Vacuolar protein sorting-associated protein 33B,VPS33B,1.1881333333333333
5248,Vacuolar protein sorting-associated protein 16 homolog,VPS16,1.1066333333333334
5249,Vacuolar protein sorting-associated protein 11 homolog,VPS11,1.1434666666666666
5250,Mitochondrial folate transporter/carrier,SLC25A32,1.7143
5251,TRIO and F-actin-binding protein,TRIOBP,1.0279500000000001
5252,STE20-like serine/threonine-protein kinase,SLK,1.0863
5253,Testis-specific Y-encoded-like protein 2,TSPYL2,0.9931933333333334
5254,Phosducin-like protein 3,PDCL3,1.0557333333333334
5255,Sodium-dependent neutral amino acid transporter B(0)AT2,SLC6A15,1.1396333333333333
5256,"Translation initiation factor IF-3, mitochondrial",MTIF3,1.0873966666666668
5257,Serine/threonine-protein kinase TAO3,TAOK3,1.0862333333333334
5258,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2,1.0801666666666667
5259,Activity-dependent neuroprotector homeobox protein,ADNP,0.9606766666666666
5260,ATP-dependent RNA helicase DHX36,DHX36,0.9078966666666667
5261,"Inorganic pyrophosphatase 2, mitochondrial",PPA2,1.0614333333333332
5262,"39S ribosomal protein L46, mitochondrial",MRPL46,0.93264
5263,Pinin,PNN,0.63938
5264,Transmembrane protein 245,TMEM245,0.7645766666666667
5265,UPF0696 protein C11orf68,C11orf68,0.9825766666666667
5266,Growth hormone-inducible transmembrane protein,GHITM,0.58133
5267,BolA-like protein 2,BOLA2,1.0117866666666666
5268,Thioredoxin-related transmembrane protein 1,TMX1,0.89532
5269,Golgi resident protein GCP60,ACBD3,1.1013
5270,Tyrosine-protein phosphatase non-receptor type 23,PTPN23,0.9655666666666667
5272,Protein unc-45 homolog A,UNC45A,1.0918333333333334
5273,DnaJ homolog subfamily C member 5,DNAJC5,1.0641333333333334
5274,Charged multivesicular body protein 4b,CHMP4B,1.0883666666666667
5275,GDP-fucose protein O-fucosyltransferase 1,POFUT1,0.9629066666666667
5276,Phosphatidylinositol glycan anchor biosynthesis class U protein,PIGU,0.8867700000000001
5277,Microtubule-associated proteins 1A/1B light chain 3A,MAP1LC3A,1.20166
5279,Aminopeptidase B,RNPEP,1.0662333333333334
5280,Golgi phosphoprotein 3,GOLPH3,1.2439666666666667
5281,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",OSGEPL1,0.9625666666666667
5283,Sentrin-specific protease 3,SENP3;SENP3-EIF4A1,0.8366933333333333
5284,Oxysterol-binding protein-related protein 3,OSBPL3,1.0164066666666667
5285,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,SMARCAD1,0.8222133333333334
5286,EH domain-containing protein 1,EHD1,0.9607133333333333
5287,Transcription factor COE3;Transcription factor COE2;Transcription factor COE1;Transcription factor COE4,EBF3;EBF2;EBF1;EBF4,0.9334166666666667
5288,Phosphorylated CTD-interacting factor 1,PCIF1,1.1147333333333334
5289,ESF1 homolog,ESF1,0.6778933333333333
5290,"Alpha-1,3/1,6-mannosyltransferase ALG2",ALG2,0.77501
5291,"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed",HEATR1,1.0006333333333333
5292,Rab GTPase-binding effector protein 2,RABEP2,1.0941333333333334
5293,"Dimethyladenosine transferase 2, mitochondrial",TFB2M,1.0705666666666667
5294,UPF0428 protein CXorf56,CXorf56,1.0831333333333333
5295,MIP18 family protein FAM96A,FAM96A,1.01262
5297,Coiled-coil domain-containing protein 134,CCDC134,0.8746766666666667
5298,Coiled-coil domain-containing protein 86,CCDC86,0.7628666666666667
5299,Optic atrophy 3 protein,OPA3,0.93833
5300,Putative ATP-dependent RNA helicase DHX33,DHX33,0.7795599999999999
5301,Nucleolar protein 6,NOL6,0.7800233333333334
5302,Probable ATP-dependent RNA helicase YTHDC2,YTHDC2,1.0691533333333334
5303,RNA polymerase II-associated protein 3,RPAP3,0.9818566666666666
5304,Breast carcinoma-amplified sequence 3,BCAS3,4.5306
5305,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,NO66,0.7313366666666666
5306,WD repeat-containing protein 55,WDR55,0.9287966666666666
5307,dCTP pyrophosphatase 1,DCTPP1,0.8971133333333333
5308,Ribosome production factor 2 homolog,RPF2,0.6267133333333333
5309,Histone-lysine N-methyltransferase SMYD3,SMYD3,1.1588333333333334
5310,Dedicator of cytokinesis protein 5,DOCK5,1.1013333333333333
5311,WD repeat-containing protein 26,WDR26,0.91361
5312,UPF0488 protein C8orf33,C8orf33,0.8671533333333333
5313,Sin3 histone deacetylase corepressor complex component SDS3,SUDS3,0.695655
5314,Protein NRDE2 homolog,NRDE2,0.8778250000000001
5315,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,PTGES2,1.1465333333333334
5316,Phosphorylated adapter RNA export protein,PHAX,0.9561533333333334
5317,Ubiquitin-conjugating enzyme E2 Z,UBE2Z,0.7935733333333334
5318,Gem-associated protein 7,GEMIN7,0.7564133333333333
5319,"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9,1.1209333333333333
5320,5-nucleotidase domain-containing protein 2,NT5DC2,0.9355666666666667
5321,Protein RMD5 homolog A,RMND5A,1.03655
5323,Caspase activity and apoptosis inhibitor 1,CAAP1,0.74306
5324,Nucleolar protein 11,NOL11,0.8770566666666666
5326,MOB kinase activator 1A,MOB1A,1.1068666666666667
5328,Ankyrin repeat and zinc finger domain-containing protein 1,ANKZF1,1.0272999999999999
5329,Golgi reassembly-stacking protein 2,GORASP2,1.0027599999999999
5330,Protein zwilch homolog,ZWILCH,0.88308
5331,Mitochondrial glutamate carrier 1,SLC25A22,0.8966766666666667
5332,Queuine tRNA-ribosyltransferase subunit QTRTD1,QTRTD1,1.0565733333333334
5333,Protein-glutamate O-methyltransferase,ARMT1,1.0014333333333334
5334,Pantothenate kinase 3,PANK3,1.3187333333333333
5335,CCR4-NOT transcription complex subunit 10,CNOT10,1.0434
5336,Leucine-rich repeat-containing protein 40,LRRC40,1.0903666666666667
5337,Histone-lysine N-methyltransferase EHMT1,EHMT1,0.7995733333333334
5338,Sideroflexin-1,SFXN1,0.9481433333333333
5339,Actin-related protein 5,ACTR5,0.92953
5340,Protein argonaute-3;Protein argonaute;Protein argonaute-1,AGO3;AGO1,0.9270066666666666
5341,Vacuolar protein sorting-associated protein 37B,VPS37B,0.8516766666666666
5342,"39S ribosomal protein L44, mitochondrial",MRPL44,0.9336033333333333
5343,Non-homologous end-joining factor 1,NHEJ1,1.05111
5344,Elongator complex protein 3,ELP3,0.89804
5345,DNA-directed RNA polymerase I subunit RPA2,POLR1B,0.6315466666666667
5346,Ketosamine-3-kinase,FN3KRP,0.9981233333333334
5347,TBC1 domain family member 17,TBC1D17,1.1375033333333333
5349,"Probable cysteine--tRNA ligase, mitochondrial",CARS2,1.0052366666666668
5350,Phosphopantothenate--cysteine ligase,PPCS,1.1217333333333332
5351,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,NMNAT1,1.2102
5352,Sialate O-acetylesterase,SIAE,0.8990666666666667
5353,Regulator of nonsense transcripts 2,UPF2,0.86913
5354,Exportin-5,XPO5,0.93586
5355,"GrpE protein homolog 1, mitochondrial",GRPEL1,1.0747666666666666
5356,"UPF0160 protein MYG1, mitochondrial",C12orf10,0.9789533333333333
5357,Retinoid-inducible serine carboxypeptidase,SCPEP1,1.0195633333333334
5358,,MKKS,1.1694333333333333
5359,Calcyclin-binding protein,CACYBP,1.0868333333333333
5360,Ras-related GTP-binding protein C;Ras-related GTP-binding protein D,RRAGC;RRAGD,1.1637
5361,Transient receptor potential cation channel subfamily V member 4,TRPV4,0.85793
5362,Intraflagellar transport protein 122 homolog,IFT122,0.9507133333333333
5363,"Peptide deformylase, mitochondrial",PDF,0.7868933333333333
5364,Retinol dehydrogenase 14,RDH14,1.0436333333333334
5365,Beta-parvin,PARVB,0.9253966666666666
5366,Plasminogen receptor (KT),PLGRKT,1.3498333333333332
5367,NmrA-like family domain-containing protein 1,NMRAL1,1.2607666666666666
5368,Kinetochore protein Spc25,SPC25,0.91584
5369,Transmembrane protein 165,TMEM165,0.8785133333333334
5370,Mitochondrial thiamine pyrophosphate carrier,SLC25A19,0.9965933333333333
5371,Echinoderm microtubule-associated protein-like 4,EML4,0.99736
5372,"rRNA methyltransferase 3, mitochondrial",RNMTL1,0.93636
5373,Glyoxalase domain-containing protein 4,GLOD4,1.0745666666666667
5374,Chromobox protein homolog 8,CBX8,2.220126666666667
5375,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,1.4563333333333333
5376,Nuclear receptor coactivator 5,NCOA5,0.91745
5377,Protein TANC2,TANC2,1.1351666666666667
5378,Putative helicase MOV-10,MOV10,0.93555
5379,Pre-mRNA-splicing factor CWC22 homolog,CWC22,0.86469
5380,Progressive ankylosis protein homolog,ANKH,0.97224
5381,Synaptic vesicle membrane protein VAT-1 homolog-like,VAT1L,0.68232
5382,Chromodomain-helicase-DNA-binding protein 8,CHD8,0.7991550000000001
5383,GPN-loop GTPase 1,GPN1,1.1742666666666668
5384,Stromal cell-derived factor 2-like protein 1,SDF2L1,0.9073266666666666
5385,Pre-mRNA-splicing factor SYF1,XAB2,0.93038
5386,Prolactin regulatory element-binding protein,PREB,1.1081666666666667
5387,DNA polymerase delta subunit 4,POLD4,1.1824
5388,Steroid receptor RNA activator 1,SRA1,1.1532
5389,Manganese-transporting ATPase 13A1,ATP13A1,0.8199833333333333
5390,Golgi-associated PDZ and coiled-coil motif-containing protein,GOPC,1.1304
5391,"39S ribosomal protein L47, mitochondrial",MRPL47,0.8874133333333333
5392,LYR motif-containing protein 4,LYRM4,1.1962333333333333
5393,Transmembrane 9 superfamily member 3,TM9SF3,1.0349666666666666
5394,Ran guanine nucleotide release factor,RANGRF,1.1096333333333332
5395,Adipocyte plasma membrane-associated protein,APMAP,1.0336333333333332
5396,WD repeat-containing protein 6,WDR6,1.1625333333333334
5397,"ATP-binding cassette sub-family B member 6, mitochondrial",ABCB6,1.0645333333333333
5398,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,1.2841666666666667
5399,Ras-related protein Rab-18,RAB18,1.3039333333333334
5400,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,SSU72,1.0942666666666667
5402,"28S ribosomal protein S30, mitochondrial",MRPS30,0.91356
5403,Dynein light chain roadblock-type 1,DYNLRB1,1.2077333333333333
5404,ER membrane protein complex subunit 7,EMC7,0.9795666666666667
5405,Mid1-interacting protein 1,MID1IP1,1.7281
5406,Transcription and mRNA export factor ENY2,ENY2,0.94212
5407,Exosome complex component RRP41,EXOSC4,0.8219233333333333
5408,Ubiquitin-conjugating enzyme E2 T,UBE2T,1.1276333333333333
5409,H/ACA ribonucleoprotein complex subunit 3,NOP10,0.6299733333333333
5411,Probable tRNA N6-adenosine threonylcarbamoyltransferase,OSGEP,0.8573533333333333
5412,DNA methyltransferase 1-associated protein 1,DMAP1,0.75811
5413,Lysophosphatidic acid phosphatase type 6,ACP6,0.8182133333333333
5414,Inositol-3-phosphate synthase 1,ISYNA1,1.4155666666666666
5415,mRNA-decapping enzyme 1A,DCP1A,0.9684966666666667
5416,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed",ACOT13,1.0455
5417,Mediator of RNA polymerase II transcription subunit 4,MED4,0.8683233333333333
5418,"Complex I assembly factor TIMMDC1, mitochondrial",TIMMDC1,2.0003666666666664
5419,Synembryn-A,RIC8A,1.02093
5420,Putative RNA-binding protein Luc7-like 1,LUC7L,0.8706933333333333
5421,Leucine zipper transcription factor-like protein 1,LZTFL1,1.1041
5422,"39S ribosomal protein L40, mitochondrial",MRPL40,0.8064600000000001
5423,"Fructose-2,6-bisphosphatase TIGAR",TIGAR,1.0128666666666668
5424,Reticulon-4;Reticulon,RTN4,0.9790066666666667
5427,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B,0.98975
5429,Prefoldin subunit 4,PFDN4,1.0735
5430,Omega-amidase NIT2,NIT2,1.1118000000000001
5431,Exosome complex component RRP46,EXOSC5,0.75526
5432,Exosome complex component RRP40,EXOSC3,0.7353766666666667
5433,Kinesin-like protein KIF13B;Kinesin-like protein,KIF13B,1.1949666666666667
5434,Xaa-Pro aminopeptidase 1,XPNPEP1,1.0649333333333333
5435,Unconventional myosin-Vc,MYO5C,1.0668666666666666
5436,Something about silencing protein 10,UTP3,0.9978800000000001
5437,"StAR-related lipid transfer protein 7, mitochondrial",STARD7,1.7504
5438,Baculoviral IAP repeat-containing protein 6,BIRC6,1.0144033333333333
5439,PDZ and LIM domain protein 7,PDLIM7,0.8665333333333334
5440,"Acetyl-coenzyme A synthetase, cytoplasmic",ACSS2,1.1185
5441,"Diablo homolog, mitochondrial",DIABLO,1.0938666666666665
5442,Nucleolar RNA helicase 2,DDX21,0.6149566666666666
5443,GTP-binding protein SAR1a,SAR1A,1.0373000000000001
5444,DNA polymerase epsilon subunit 4,POLE4,1.0469
5445,Sialic acid synthase,NANS,1.0144033333333333
5446,Translation initiation factor eIF-2B subunit gamma,EIF2B3,1.0364733333333334
5447,CTP synthase 2,CTPS2,1.3485
5448,DNA polymerase epsilon subunit 3,POLE3,0.7337033333333334
5449,Aladin,AAAS,0.93142
5450,"ATP-binding cassette sub-family B member 10, mitochondrial",ABCB10,0.76328
5451,Bromodomain adjacent to zinc finger domain protein 1A,BAZ1A,0.7202900000000001
5452,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,0.8695833333333334
5453,Methyltransferase-like protein 5,METTL5,1.0705666666666667
5454,Oligosaccharyltransferase complex subunit OSTC,OSTC,1.0729333333333333
5455,Ubiquilin-4,UBQLN4,1.1145666666666667
5456,Heme-binding protein 1,HEBP1,1.2390333333333332
5457,Ras-related protein Rab-6B,RAB6B,1.452
5458,DNA dC->dU-editing enzyme APOBEC-3C,APOBEC3C,1.0487833333333334
5459,Vacuolar protein sorting-associated protein 45,VPS45,1.3095666666666668
5460,RNA-binding protein PNO1,PNO1,1.1254066666666667
5461,"39S ribosomal protein L17, mitochondrial",MRPL17,0.9134966666666667
5462,14 kDa phosphohistidine phosphatase,PHPT1,1.03912
5464,Protein kish-B,TMEM167B,1.3361
5465,SOSS complex subunit C,INIP,0.7356866666666667
5466,Rho GTPase-activating protein 35,ARHGAP35;GRLF1,1.02028
5467,Protein FAM114A2,FAM114A2,1.0678666666666667
5470,"Glutaredoxin-2, mitochondrial",GLRX2,0.80986
5471,Mitochondrial import receptor subunit TOM22 homolog,TOMM22,0.8294733333333334
5472,LanC-like protein 2,LANCL2,0.8818366666666666
5473,Kinesin-like protein KIF15;Kinesin-like protein,KIF15,0.8565266666666667
5474,E3 ubiquitin-protein ligase RAD18,RAD18,0.9099266666666667
5475,Beta-catenin-interacting protein 1,CTNNBIP1,1.021
5476,Homer protein homolog 3,HOMER3,0.9432633333333333
5477,Phenylalanine--tRNA ligase beta subunit,FARSB,0.92733
5478,"Isoleucine--tRNA ligase, mitochondrial",IARS2,0.93675
5479,Kinesin light chain 4,KLC4,1.2531999999999999
5480,Ubiquitin-like-conjugating enzyme ATG3,ATG3,1.0430966666666666
5481,Sister chromatid cohesion protein PDS5 homolog B,PDS5B,0.9389066666666667
5482,Structural maintenance of chromosomes protein 4;Structural maintenance of chromosomes protein,SMC4,0.8701933333333334
5483,Alpha-mannosidase 2C1,MAN2C1,1.1219666666666666
5484,Phosphatidylinositide phosphatase SAC1,SACM1L,0.9179
5485,Copper homeostasis protein cutC homolog,CUTC,0.9520666666666666
5486,Ethylmalonyl-CoA decarboxylase,ECHDC1,0.8945033333333333
5487,RNA-binding protein 12,RBM12,0.8765866666666666
5488,Midasin,MDN1,0.7646166666666667
5489,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACSS1,1.0997999999999999
5490,Zinc finger CCHC domain-containing protein 3,ZCCHC3,0.8327199999999999
5491,p53 and DNA damage-regulated protein 1,PDRG1,0.9227733333333333
5492,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",ABHD10,0.91322
5493,Probable ATP-dependent RNA helicase DDX28,DDX28,0.8684049999999999
5494,Transmembrane protein 106B,TMEM106B,1.3217500000000002
5495,Probable lysosomal cobalamin transporter,LMBRD1,1.1848
5496,Biogenesis of lysosome-related organelles complex 1 subunit 4,BLOC1S4,1.2045666666666666
5497,Protein lin-7 homolog C;Protein lin-7 homolog A,LIN7C;LIN7A,1.031
5498,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,AGPAT5,1.0637333333333334
5499,Gamma-taxilin,TXLNG,0.9744233333333333
5500,SPATS2-like protein,SPATS2L,1.07718
5501,Ufm1-specific protease 2,UFSP2,1.0564766666666667
5502,ATP-binding cassette sub-family F member 3,ABCF3,0.9503933333333333
5503,Protein FAM49B,FAM49B,1.0893333333333333
5505,"ATP-binding cassette sub-family B member 8, mitochondrial",ABCB8,1.5678333333333334
5506,ATP-dependent RNA helicase DDX19A,DDX19A,0.99528
5507,TBC1 domain family member 23,TBC1D23,0.8653
5508,U3 small nucleolar ribonucleoprotein protein IMP3,IMP3,1.3039
5509,Probable 8-oxo-dGTP diphosphatase NUDT15,NUDT15,0.8964266666666666
5510,MRG/MORF4L-binding protein,MRGBP,0.7608433333333333
5511,Exocyst complex component 1,EXOC1,1.1455666666666666
5512,Integrator complex subunit 9,INTS9,0.81252
5513,Cell cycle control protein 50A,TMEM30A,1.1915333333333333
5514,Ubiquinol-cytochrome-c reductase complex assembly factor 1,UQCC1,1.06613
5516,Mediator of RNA polymerase II transcription subunit 17,MED17,0.9529099999999999
5517,Pantothenate kinase 4,PANK4,1.2302666666666666
5518,TBC1 domain family member 13,TBC1D13,1.04988
5519,Exonuclease 3-5 domain-containing protein 2,EXD2,1.4108666666666667
5520,DnaJ homolog subfamily C member 11,DNAJC11,0.9990666666666667
5521,Integrator complex subunit 7,INTS7,0.8390833333333333
5522,Fanconi anemia group I protein,FANCI,0.8172533333333334
5523,ATPase family AAA domain-containing protein 3A,ATAD3A,0.7159866666666667
5524,ADP-ribosylation factor-like protein 8B,ARL8B,1.1407666666666667
5525,Protein arginine N-methyltransferase 7,PRMT7,1.3190499999999998
5526,DnaJ homolog subfamily C member 17,DNAJC17,0.83621
5527,Protein asunder homolog,ASUN,0.9397599999999999
5528,Guanine nucleotide-binding protein-like 3-like protein,GNL3L,1.2979
5529,ATP-dependent RNA helicase DDX18,DDX18,0.5782066666666666
5530,Histone chaperone ASF1B,ASF1B,0.7361533333333333
5532,Integrator complex subunit 10,INTS10,0.8462866666666666
5533,Pyridoxine-5-phosphate oxidase,PNPO,1.0501
5534,Armadillo repeat-containing protein 1,ARMC1,1.1628666666666667
5535,"Poly(A) RNA polymerase, mitochondrial",MTPAP,1.0743
5536,Notchless protein homolog 1,NLE1,1.1508666666666667
5537,Adaptin ear-binding coat-associated protein 2,NECAP2,1.1305333333333334
5538,DNA-directed RNA polymerase III subunit RPC2,POLR3B,0.9265533333333333
5539,RNA-binding protein 28,RBM28,0.6078433333333334
5540,Anoctamin-10,ANO10,0.9902233333333333
5541,Pre-mRNA-splicing factor RBM22,RBM22,0.8114933333333333
5542,BSD domain-containing protein 1,BSDC1,1.5484
5543,WD repeat-containing protein 70,WDR70,1.0480466666666668
5545,Arginine and glutamate-rich protein 1,ARGLU1,0.8775366666666666
5546,SAFB-like transcription modulator,SLTM,0.70421
5548,Peptidyl-prolyl cis-trans isomerase FKBP14,FKBP14,1.1
5549,Uncharacterized protein C14orf119,C14orf119,1.2174
5550,PIH1 domain-containing protein 1,PIH1D1,0.96553
5551,p21-activated protein kinase-interacting protein 1,PAK1IP1,0.8101033333333333
5552,Hypoxia-inducible factor 1-alpha inhibitor,HIF1AN,1.0301766666666667
5553,Aurora kinase A-interacting protein,AURKAIP1,0.66776
5554,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",OXSM,0.9883866666666666
5555,Glucose-induced degradation protein 8 homolog,GID8,0.9796400000000001
5556,UPF0587 protein C1orf123,C1orf123,0.98586
5557,Ankyrin repeat and SOCS box protein 6,ASB6,1.1219000000000001
5558,Probable tRNA(His) guanylyltransferase,THG1L,0.9803666666666666
5559,UPF0609 protein C4orf27;Putative UPF0609 protein C4orf27-like,C4orf27,2.2534
5560,Interleukin-1 receptor-associated kinase 4,IRAK4,1.08625
5561,Uridine-cytidine kinase-like 1,UCKL1,1.3155333333333334
5562,Gem-associated protein 8,GEMIN8,1.209
5563,Thioredoxin-like protein 4B,TXNL4B,0.8133733333333333
5564,COMM domain-containing protein 8,COMMD8,1.0121966666666666
5566,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",NDUFB11,0.99911
5567,"39S ribosomal protein L16, mitochondrial",MRPL16,0.81786
5568,OCIA domain-containing protein 1,OCIAD1,1.3815
5569,Poly(ADP-ribose) glycohydrolase ARH3,ADPRHL2,1.0133166666666666
5570,E3 ubiquitin-protein ligase MARCH5,MARCH5,1.2066333333333332
5571,Huntingtin-interacting protein K,HYPK,0.90607
5572,Cell growth-regulating nucleolar protein,LYAR,0.70994
5573,Inositol monophosphatase 3,IMPAD1,0.7819433333333333
5574,CKLF-like MARVEL transmembrane domain-containing protein 6,CMTM6,0.9635833333333333
5575,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",SIRT5,1.306
5576,WD repeat-containing protein mio,MIOS,1.1956
5578,Testis-expressed sequence 10 protein,TEX10,0.79186
5579,DDB1- and CUL4-associated factor 16,DCAF16,0.8201466666666667
5580,THUMP domain-containing protein 1,THUMPD1,0.9782866666666666
5581,tRNA (guanine(26)-N(2))-dimethyltransferase,TRMT1,0.88039
5582,Pyroglutamyl-peptidase 1,PGPEP1,1.1782
5583,Ganglioside-induced differentiation-associated protein 2,GDAP2,1.1589
5584,Nuclear distribution protein nudE homolog 1,NDE1,1.1374
5585,BRCA1-A complex subunit BRE,BRE,1.0915666666666666
5586,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,1.008005
5587,CDKN2A-interacting protein,CDKN2AIP,0.88161
5588,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4,ALKBH4,0.9781
5589,H/ACA ribonucleoprotein complex subunit 1,GAR1,0.8233933333333333
5590,Protein AATF,AATF,1.0707266666666666
5591,Probable ATP-dependent RNA helicase DDX56,DDX56,0.7456366666666666
5592,Sphingosine kinase 1,SPHK1,1.04825
5593,Telomeric repeat-binding factor 2-interacting protein 1,TERF2IP,0.9581666666666667
5594,Bcl-2-associated transcription factor 1,BCLAF1,0.71983
5595,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",COA4,1.0327333333333333
5596,"39S ribosomal protein L39, mitochondrial",MRPL39,0.9195966666666667
5597,Tropomodulin-3,TMOD3,1.0515666666666668
5598,BET1-like protein,BET1L,0.86343
5600,UDP-glucose:glycoprotein glucosyltransferase 2,UGGT2,1.1128266666666666
5601,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,1.1635333333333333
5602,Cyclin-dependent kinase 12,CDK12,1.0158466666666666
5603,FAST kinase domain-containing protein 2,FASTKD2,0.9030666666666667
5604,Very-long-chain enoyl-CoA reductase,TECR,1.1883
5605,Endoplasmic reticulum aminopeptidase 1,ERAP1,1.1415333333333333
5606,Actin-related protein 10,ACTR10,1.1629666666666667
5607,Vesicle transport protein USE1,USE1,0.98655
5608,CDGSH iron-sulfur domain-containing protein 1,CISD1,0.6392733333333334
5609,Uncharacterized protein C9orf78,C9orf78,0.9334633333333333
5610,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A,0.9389933333333333
5611,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,SMARCAL1,1.2708
5612,Maspardin,SPG21,1.5181666666666667
5613,"39S ribosomal protein L35, mitochondrial",MRPL35,0.9438
5614,Upstream-binding protein 1,UBP1,0.9602333333333333
5615,Insulin-like growth factor 2 mRNA-binding protein 1,IGF2BP1,0.8244900000000001
5616,Sacsin,SACS,0.86969
5617,Diphosphoinositol polyphosphate phosphohydrolase 2,NUDT4,1.0442333333333333
5618,Diphosphoinositol polyphosphate phosphohydrolase 2,NUDT4,1.0307
5619,Hsp70-binding protein 1,HSPBP1,1.0543333333333333
5620,Methionine adenosyltransferase 2 subunit beta,MAT2B,0.91574
5621,Methionine adenosyltransferase 2 subunit beta,MAT2B,0.8133233333333333
5622,Myoferlin,MYOF,0.84762
5623,Glioma tumor suppressor candidate region gene 2 protein,GLTSCR2,0.5546166666666666
5624,EH domain-containing protein 2,EHD2,1.2419666666666667
5625,NCK-interacting protein with SH3 domain,NCKIPSD,1.228
5626,Low-density lipoprotein receptor-related protein 1B,LRP1B,0.9890466666666666
5627,Opioid growth factor receptor,OGFR,0.95359
5628,Leucine-rich repeat transmembrane protein FLRT3,FLRT3,0.74099
5629,LIM and cysteine-rich domains protein 1,LMCD1,0.8007933333333334
5630,MAGUK p55 subfamily member 6,MPP6,0.9687466666666668
5631,Charged multivesicular body protein 5,CHMP5,1.0360633333333333
5632,COMM domain-containing protein 9,COMMD9,1.135
5633,Spliceosome-associated protein CWC15 homolog,CWC15,0.8838866666666667
5634,"39S ribosomal protein L15, mitochondrial",MRPL15,0.8732566666666667
5635,Thymocyte nuclear protein 1,THYN1,1.0370733333333333
5637,Thyroid transcription factor 1-associated protein 26,CCDC59,1.1766333333333334
5638,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,NDUFAF4,0.8956766666666667
5639,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,HACD3,1.00307
5640,Mediator of RNA polymerase II transcription subunit 11,MED11,0.97343
5642,ER membrane protein complex subunit 3,EMC3,1.0031133333333333
5643,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,0.9437366666666667
5644,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",PDP1,0.8890766666666666
5645,Ankycorbin,RAI14,0.9239466666666667
5646,Vesicle-associated membrane protein-associated protein A,VAPA,0.9752333333333333
5647,GSK3-beta interaction protein,GSKIP,1.01278
5648,ORM1-like protein 1,ORMDL1,0.9225399999999999
5649,Transmembrane protein 14C,TMEM14C,1.1714333333333333
5650,Mitochondrial import receptor subunit TOM7 homolog,TOMM7,0.95647
5651,Costars family protein ABRACL,ABRACL,0.9963166666666667
5653,Pogo transposable element with KRAB domain,POGK,1.0630366666666666
5654,Vacuolar protein sorting-associated protein 18 homolog,VPS18,0.9792566666666667
5655,Protein RCC2,RCC2,0.8565966666666667
5656,LisH domain and HEAT repeat-containing protein KIAA1468,KIAA1468,1.00909
5657,Disco-interacting protein 2 homolog B,DIP2B,1.05412
